,clean_acc,Linf_acc,L2_acc,L1_acc,common_acc,sum,geom,model_size,backbone,dataset,loss_function,pre_training_dataset,pre_training_strategy,volume_pre_training_data,backbone_name,model_type,ft_strategy
0,0.9555555555555556,0.19365079365079366,0.5206349206349207,0.5190476190476191,0.7833333333333333,2.9722222222222223,0.03917078977596657,large,CLIP-convnext_base_w-laion_aesthetic-s13B-b82K,uc-merced-land-use-dataset,TRADES_v2,laion_aesthetic,self-supervised (multimodal),900000000,"convnext_b,clip,laiona",fully convolutional,FFT (50 epochs)
1,0.9523809523809523,0.8,0.888095238095238,0.7492063492063492,0.8476190476190476,4.237301587301587,0.42969706380914674,large,CLIP-convnext_base_w-laion2B-s13B-b82K,uc-merced-land-use-dataset,TRADES_v2,laion2B,self-supervised (multimodal),2320000000,"convnext_b,clip,laion2b",fully convolutional,FFT (50 epochs)
2,0.765079365079365,0.0,0.0,0.0,0.4857142857142857,1.2507936507936508,0.0,medium,deit_small_patch16_224.fb_in1k,uc-merced-land-use-dataset,TRADES_v2,in1k,supervised,1281167,"deit_s,sup,in1k",fully attention,FFT (50 epochs)
3,0.18571428571428572,0.009523809523809525,0.0,0.0,0.13015873015873017,0.3253968253968254,0.0,medium,robust_resnet50,uc-merced-land-use-dataset,TRADES_v2,in1k,supervised (robust),1281167,"resnet50,rob-sup,in1k",fully convolutional,FFT (50 epochs)
4,0.5238095238095238,0.22380952380952382,0.29523809523809524,0.2357142857142857,0.3523809523809524,1.6309523809523812,0.0028748995678608345,medium,vit_small_patch16_224.augreg_in21k,uc-merced-land-use-dataset,TRADES_v2,in22k,supervised,14197122,"vit_s,sup,in22k",fully attention,FFT (50 epochs)
5,0.9523809523809523,0.0,0.009523809523809525,0.10238095238095238,0.8571428571428571,1.9214285714285713,0.0,large,convnext_base.fb_in1k,uc-merced-land-use-dataset,TRADES_v2,in1k,supervised,1281167,"convnext_b,sup,in1k",fully convolutional,FFT (50 epochs)
6,0.6404761904761904,0.0,0.0,0.0,0.4714285714285714,1.111904761904762,0.0,medium,resnet50.a1_in1k,uc-merced-land-use-dataset,TRADES_v2,in1k,supervised,1281167,"resnet50,sup,in1k",fully convolutional,FFT (50 epochs)
7,0.10714285714285714,0.0,0.0,0.0,0.07380952380952381,0.18095238095238095,0.0,large,robust_vit_base_patch16_224,uc-merced-land-use-dataset,TRADES_v2,in1k,supervised (robust),1281167,"vit_b,rob-sup,in1k",fully attention,FFT (50 epochs)
8,0.873015873015873,0.2698412698412698,0.0,0.0,0.6452380952380953,1.788095238095238,0.0,large,vit_base_patch16_224.mae,uc-merced-land-use-dataset,TRADES_v2,in1k,self-supervised,1281167,"vit_b,mae,in1k",fully attention,FFT (50 epochs)
9,0.8285714285714286,0.2119047619047619,0.3682539682539683,0.12380952380952381,0.5428571428571428,2.0753968253968256,0.004345679717519229,medium,vit_small_patch16_224.dino,uc-merced-land-use-dataset,TRADES_v2,in1k,self-supervised,1281167,"vit_b,dino,in1k",fully attention,FFT (50 epochs)
